Time, Acceleration, Velocity, Position
0, 0.000000, 0.000000, 0.000000
1, 0.000083, 0.000004, 0.000000
2, 0.000165, 0.000017, 0.000001
3, 0.000248, 0.000037, 0.000004
4, 0.000330, 0.000066, 0.000009
5, 0.000413, 0.000103, 0.000017
6, 0.000496, 0.000149, 0.000030
7, 0.000578, 0.000202, 0.000047
8, 0.000661, 0.000264, 0.000070
9, 0.000743, 0.000334, 0.000100
10, 0.000826, 0.000413, 0.000138
11, 0.000908, 0.000500, 0.000183
12, 0.000991, 0.000595, 0.000238
13, 0.001074, 0.000698, 0.000302
14, 0.001156, 0.000809, 0.000378
15, 0.001239, 0.000929, 0.000465
16, 0.001321, 0.001057, 0.000564
17, 0.001404, 0.001193, 0.000676
18, 0.001487, 0.001338, 0.000803
19, 0.001569, 0.001491, 0.000944
20, 0.001652, 0.001652, 0.001101
21, 0.001734, 0.001821, 0.001275
22, 0.001817, 0.001999, 0.001466
23, 0.001899, 0.002184, 0.001675
24, 0.001982, 0.002378, 0.001903
25, 0.002065, 0.002581, 0.002151
26, 0.002147, 0.002791, 0.002419
27, 0.002230, 0.003010, 0.002709
28, 0.002312, 0.003237, 0.003022
29, 0.002395, 0.003473, 0.003357
30, 0.002478, 0.003716, 0.003716
31, 0.002560, 0.003968, 0.004100
32, 0.002643, 0.004228, 0.004510
33, 0.002725, 0.004497, 0.004946
34, 0.002808, 0.004773, 0.005410
35, 0.002890, 0.005058, 0.005901
36, 0.002973, 0.005351, 0.006422
37, 0.003056, 0.005653, 0.006972
38, 0.003138, 0.005963, 0.007553
39, 0.003221, 0.006281, 0.008165
40, 0.003303, 0.006607, 0.008809
41, 0.003386, 0.006941, 0.009486
42, 0.003468, 0.007284, 0.010198
43, 0.003551, 0.007635, 0.010943
44, 0.003634, 0.007994, 0.011725
45, 0.003716, 0.008362, 0.012542
46, 0.003799, 0.008737, 0.013397
47, 0.003881, 0.009121, 0.014290
48, 0.003964, 0.009514, 0.015222
49, 0.004046, 0.009914, 0.016193
50, 0.004129, 0.010323, 0.017205
51, 0.004212, 0.010740, 0.018258
52, 0.004294, 0.011165, 0.019353
53, 0.004377, 0.011599, 0.020491
54, 0.004459, 0.012041, 0.021673
55, 0.004542, 0.012491, 0.022900
56, 0.004624, 0.012949, 0.024172
57, 0.004707, 0.013416, 0.025490
58, 0.004790, 0.013890, 0.026855
59, 0.004872, 0.014373, 0.028268
60, 0.004955, 0.014865, 0.029730
61, 0.005037, 0.015364, 0.031241
62, 0.005120, 0.015872, 0.032803
63, 0.005202, 0.016388, 0.034416
64, 0.005285, 0.016913, 0.036081
65, 0.005368, 0.017445, 0.037799
66, 0.005450, 0.017986, 0.039570
67, 0.005533, 0.018535, 0.041397
68, 0.005615, 0.019093, 0.043278
69, 0.005698, 0.019658, 0.045215
70, 0.005780, 0.020232, 0.047210
71, 0.005863, 0.020815, 0.049262
72, 0.005946, 0.021405, 0.051373
73, 0.006028, 0.022004, 0.053543
74, 0.006111, 0.022611, 0.055774
75, 0.006193, 0.023226, 0.058066
76, 0.006276, 0.023849, 0.060419
77, 0.006358, 0.024481, 0.062836
78, 0.006441, 0.025121, 0.065316
79, 0.006523, 0.025769, 0.067860
80, 0.006606, 0.026426, 0.070470
81, 0.006689, 0.027090, 0.073146
82, 0.006771, 0.027763, 0.075888
83, 0.006854, 0.028445, 0.078699
84, 0.006936, 0.029134, 0.081578
85, 0.007019, 0.029832, 0.084526
86, 0.007101, 0.030538, 0.087544
87, 0.007184, 0.031252, 0.090634
88, 0.007266, 0.031974, 0.093795
89, 0.007349, 0.032705, 0.097029
90, 0.007431, 0.033444, 0.100336
91, 0.007514, 0.034192, 0.103718
