Time, Acceleration, Velocity, Position
0, 0.000413, 0.000206, 0.000069
1, 0.000496, 0.000252, 0.000092
2, 0.000578, 0.000306, 0.000119
3, 0.000661, 0.000368, 0.000153
4, 0.000743, 0.000438, 0.000193
5, 0.000826, 0.000516, 0.000241
6, 0.000908, 0.000603, 0.000297
7, 0.000991, 0.000698, 0.000362
8, 0.001074, 0.000801, 0.000437
9, 0.001156, 0.000913, 0.000522
10, 0.001239, 0.001032, 0.000619
11, 0.001321, 0.001160, 0.000729
12, 0.001404, 0.001297, 0.000852
13, 0.001487, 0.001441, 0.000989
14, 0.001569, 0.001594, 0.001140
15, 0.001652, 0.001755, 0.001308
16, 0.001734, 0.001924, 0.001491
17, 0.001817, 0.002102, 0.001693
18, 0.001899, 0.002288, 0.001912
19, 0.001982, 0.002482, 0.002151
20, 0.002065, 0.002684, 0.002409
21, 0.002147, 0.002895, 0.002688
22, 0.002230, 0.003113, 0.002988
23, 0.002312, 0.003341, 0.003311
24, 0.002395, 0.003576, 0.003656
25, 0.002478, 0.003820, 0.004026
26, 0.002560, 0.004071, 0.004420
27, 0.002643, 0.004332, 0.004841
28, 0.002725, 0.004600, 0.005287
29, 0.002808, 0.004877, 0.005761
30, 0.002890, 0.005162, 0.006263
31, 0.002973, 0.005455, 0.006793
32, 0.003056, 0.005756, 0.007354
33, 0.003138, 0.006066, 0.007945
34, 0.003221, 0.006384, 0.008567
35, 0.003303, 0.006710, 0.009222
36, 0.003386, 0.007044, 0.009910
37, 0.003468, 0.007387, 0.010631
38, 0.003551, 0.007738, 0.011387
39, 0.003634, 0.008097, 0.012179
40, 0.003716, 0.008465, 0.013007
41, 0.003799, 0.008841, 0.013872
42, 0.003881, 0.009225, 0.014775
43, 0.003964, 0.009617, 0.015717
44, 0.004046, 0.010017, 0.016699
45, 0.004129, 0.010426, 0.017721
46, 0.004212, 0.010843, 0.018785
47, 0.004294, 0.011268, 0.019890
48, 0.004377, 0.011702, 0.021038
49, 0.004459, 0.012144, 0.022231
